baseAddr,detailAddr,zipCd,contentId,contentTypeId,regDt,orgImage,thumbImage,cpyrhtDivCd,mapX,mapY,mlevel,mdfcnDt,tel,title,showflag,lDongRegnCd,lDongSignguCd,wellnessThemaCd,langDivCd,oldContentId
강원특별자치도 삼척시 가곡면 탕곡리,509-3,25954,2994116,12,20230717155822,http://tong.visitkorea.or.kr/cms/resource/54/2994054_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/54/2994054_image3_1.jpg,Type3,129.2062296318,37.1507494904,6,20241122151714,033-572-1800,가곡유황온천&스파,1,51,230,EX050100,KOR,2994116
경상남도 거창군 가조면 온천길 161,,50118,127956,12,20040127090000,http://tong.visitkorea.or.kr/cms/resource/83/3414283_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/83/3414283_image3_1.jpg,Type3,128.0229317531,35.6985345364,6,20250317212111,,가조 백두산천지온천,1,48,880,EX050100,KOR,127956
울산광역시 북구 동해안로 1418,(구유동),44233,1624227,12,20120508015144,http://tong.visitkorea.or.kr/cms/resource/26/3077926_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/26/3077926_image3_1.bmp,Type3,129.4505699154,35.6138565417,6,20240510170335,,강동 해수온천,1,31,200,EX050100,KOR,1624227
서울특별시 광진구 구의강변로 45 (구의동),,05049,128961,12,20060508090000,http://tong.visitkorea.or.kr/cms/resource/98/3401698_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/98/3401698_image3_1.JPG,Type3,127.0913227521,37.5349377239,6,20250328153350,,강변스파랜드,1,11,215,EX050200,KOR,128961
인천광역시 강화군 길상면 해안남로 13-12,,23052,662637,12,20081206001811,http://tong.visitkorea.or.kr/cms/resource/77/3040477_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/77/3040477_image3_1.jpg,Type3,126.5337766252,37.6260699674,6,20250521165954,,강화해수랜드,1,28,710,EX050100,KOR,662637
경상남도 거제시 수양로 507,(양정동),53235,127966,12,20031111090000,http://tong.visitkorea.or.kr/cms/resource/00/3516400_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/00/3516400_image3_1.jpg,Type1,128.6352635905,34.8909030888,6,20250805105926,,거제도해수보양온천,1,48,310,EX050100,KOR,127966
충청남도 공주시 수원지공원길 131-21 (금학동),,32602,3038543,12,20231114102559,http://tong.visitkorea.or.kr/cms/resource/36/3038536_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/36/3038536_image3_1.jpg,Type3,127.1259251817,36.4304352185,6,20250429113514,,공주 환경성 건강 센터,1,44,150,EX050600,KOR,3038543
경상북도 김천시 증산면 수도길 1237-89,,39695,2660941,12,20200624232550,http://tong.visitkorea.or.kr/cms/resource/90/3519690_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/90/3519690_image3_1.jpg,Type3,128.0022377784,35.8514140611,6,20250811102716,054-435-3412~4,국립김천치유의숲,1,47,150,EX050700,KOR,2660941
강원특별자치도 강릉시 성산면 대관령옛길 127-42,(어흘리),25443,2554069,12,20180718004958,http://tong.visitkorea.or.kr/cms/resource/12/3490812_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/12/3490812_image3_1.jpg,Type3,128.7990518679,37.7080690523,6,20250827162311,033-642-8382,국립대관령치유의숲,1,51,150,EX050600,KOR,2554069
울산광역시 울주군 온양읍 대운상대길 225-92,,44972,2555756,12,20180727224059,http://tong.visitkorea.or.kr/cms/resource/94/2662694_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/94/2662694_image2_1.bmp,Type3,129.2361865678,35.3901665277,6,20250731105115,052-237-8600,국립대운산치유의숲,1,31,710,EX050600,KOR,2555756
경기도 양평군 양동면 황거길 262-10,,12537,2554095,12,20180718014333,http://tong.visitkorea.or.kr/cms/resource/82/3501782_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/82/3501782_image3_1.jpg,Type1,127.7181068651,37.4611854870,6,20250702095014,031-8079-7944,국립양평치유의숲,1,41,830,EX050600,KOR,2554095
전라남도 장성군 서삼면 추암로 716,,57231,127394,12,20030703090000,,,,126.7314629993,35.3688466251,6,20250822100208,,국립장성치유의숲,1,46,880,EX050600,KOR,127394
충청북도 제천시 청풍면 학현소야로 590,,27215,2718685,12,20210527231353,http://tong.visitkorea.or.kr/cms/resource/12/3106112_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/12/3106112_image3_1.jpg,Type3,128.2447946692,37.0128775418,6,20250402162417,043-653-0246,국립제천치유의숲,1,43,150,EX050600,KOR,2718685
충청북도 청주시 상당구 낭성면 호정전하울길 99-45,,28193,3034650,12,20231107021515,http://tong.visitkorea.or.kr/cms/resource/48/3034648_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/48/3034648_image3_1.jpg,Type3,127.6057410622,36.6131728142,6,20250418132526,,국화참숯불가마찜질,1,43,111,EX050200,KOR,3034650
전라남도 영광군 백수읍 해안로 950,,57025,3010680,12,20230913174524,http://tong.visitkorea.or.kr/cms/resource/53/3010653_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/53/3010653_image3_1.jpg,Type3,126.3891410344,35.3528760420,6,20250812171505,,글로리비치해수찜,1,46,870,EX050200,KOR,3010680
충청남도 공주시 고마나루길 51-12,(웅진동),32535,127850,12,20030515090000,http://tong.visitkorea.or.kr/cms/resource/34/3057334_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/34/3057334_image2_1.JPG,Type3,127.1075231830,36.4627950745,6,20250508144640,,금강온천,1,44,150,EX050100,KOR,127850
전라남도 화순군 북면 옥리길 14-21,,58101,129185,12,20060726090000,http://tong.visitkorea.or.kr/cms/resource/31/3397831_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/31/3397831_image3_1.JPG,Type3,127.0841702727,35.1637952347,6,20250315134126,,금호리조트 화순아쿠아나,1,46,790,EX050100,KOR,129185
강원특별자치도 강릉시 남부로125번길 18,(노암동),25595,2702655,12,20210101023844,,,,128.8935561515,37.7435306776,6,20250317103052,,기린사우나,1,51,150,EX050100,KOR,2702655
경상남도 김해시 장유로 555,,51011,1921423,12,20140527231527,,,,128.8291361340,35.1810435696,6,20250731084018,,김해 롯데워터파크,1,48,250,EX050100,KOR,1921423
충청북도 충주시 노은면 우성1길 201-61,,27452,2613450,12,20190729201252,http://tong.visitkorea.or.kr/cms/resource/73/3022173_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/73/3022173_image3_1.jpg,Type3,127.7513247320,37.0256058405,6,20250401135906,043-723-2033,깊은산속 옹달샘,1,43,130,EX050400,KOR,2613450
경상북도 경주시 포석로 924,(탑동),38172,127989,12,20031124090000,http://tong.visitkorea.or.kr/cms/resource/56/179456_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/56/179456_image3_1.jpg,Type3,129.2109099137,35.8232589729,6,20250731084652,,꽃마을 경주한방병원,1,47,130,EX050600,KOR,127989
경상북도 경주시 탑동,46-1번지 (오릉옆),"780-170,1",523984,12,20080321194627,http://tong.visitkorea.or.kr/cms/resource/56/179456_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/56/179456_image3_1.jpg,Type3,129.2111043317,35.8235978273,6,20240423220245,,꽃마을 경주한방병원,1,47,130,EX050300,KOR,523984
전라남도 순천시 낙안면 조정래길 933,,57918,127973,12,20031113090000,,,,127.3379874119,34.9194743091,6,20240513102329,,낙안온천,1,46,150,EX050100,KOR,127973
충청북도 충주시 수안보면 온천천변길 39-4,,27497,2755943,12,20211013022201,,,,127.9880030171,36.8468362997,6,20250324171038,,낙천탕,1,43,130,EX050100,KOR,2755943
경기도 파주시 교하로 677-20,(동패동),10883,2757569,12,20211015183915,,,,126.7043392530,37.7089911042,6,20250826153059,,네이처스파,1,41,480,EX050200,KOR,2757569
충청북도 충주시 새바지길 37 능암온천랜드,,27302,127949,12,20031106090000,http://tong.visitkorea.or.kr/cms/resource/61/2603261_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/61/2603261_image3_1.jpg,Type3,127.8023543105,37.0935239517,6,20250626093729,,능암온천랜드,1,43,130,EX050100,KOR,127949
전라남도 담양군 금성면 금성산성길 202,,57301,127847,12,20040109090000,http://tong.visitkorea.or.kr/cms/resource/37/3077537_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/37/3077537_image3_1.jpg,Type3,127.0243537910,35.3651770098,6,20250819132303,,담양리조트 온천,1,46,710,EX050100,KOR,127847
대구광역시 중구 중앙대로77길 45,,41934,2822328,12,20220530164539,http://tong.visitkorea.or.kr/cms/resource/65/2822265_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/65/2822265_image3_1.jpg,Type1,128.5909992253,35.8682589890,6,20250808155655,,대구약령시 한방의료체험타운,1,27,110,EX050300,KOR,2822328
인천광역시 중구 영종해안남로321번길 186,(운서동),22382,2715100,12,20210430202652,,,,126.4557445366,37.4373461143,6,20250327173405,,더 스파 앳 파라다이스,1,28,110,EX050500,KOR,2715100
인천광역시 연수구 컨벤시아대로 153 (송도동),,21998,3346627,12,20240812155443,http://tong.visitkorea.or.kr/cms/resource/17/3346617_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/17/3346617_image3_1.jpg,Type3,126.6454396418,37.3902771345,6,20250318134514,,더 스파 하스타,1,28,185,EX050500,KOR,3346627
서울특별시 중구 장충단로13길 20 (을지로6가),지하 1층,04563,2794931,12,20211214053210,http://tong.visitkorea.or.kr/cms/resource/06/2796106_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/06/2796106_image2_1.jpg,Type3,127.0076821872,37.5687878415,6,20241210163032,,더벨스파 동대문현대시티아울렛점,1,11,140,EX050500,KOR,2794931
경상북도 경주시 엑스포로 45 (신평동),,38116,128811,12,20060303090000,http://tong.visitkorea.or.kr/cms/resource/33/3037333_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/33/3037333_image3_1.jpg,Type3,129.2909580639,35.8370478188,6,20250819151312,,더케이경주호텔 스파온천,1,47,130,EX050100,KOR,128811
경상북도 울진군 북면 덕구온천로 924,,36307,126114,12,20040218090000,http://tong.visitkorea.or.kr/cms/resource/33/3503533_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/33/3503533_image3_1.jpg,Type3,129.2816722994,37.0794591327,6,20250709131111,,덕구온천 스파월드,1,47,930,EX050100,KOR,126114
충청남도 예산군 덕산면 온천단지3로 84,,32406,3031321,12,20231103165535,http://tong.visitkorea.or.kr/cms/resource/16/3031316_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/16/3031316_image3_1.jpg,Type3,126.6523690438,36.6946521466,6,20250704100503,,덕산싸이판대온천,1,44,810,EX050100,KOR,3031321
충청남도 예산군 덕산면 온천단지2로 19,,32406,125859,12,20031205090000,http://tong.visitkorea.or.kr/cms/resource/76/3055376_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/76/3055376_image3_1.jpg,Type3,126.6596379692,36.6895250851,6,20250609162107,,덕산온천지구,1,44,810,EX050100,KOR,125859
전라남도 화순군 도곡면 온천1길 45,(도곡면),58148,127932,12,20031022090000,http://tong.visitkorea.or.kr/cms/resource/79/3348379_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/79/3348379_image3_1.JPG,Type3,126.9033118398,35.0291490268,6,20250319192655,,도곡 원네스 스파·리조트,1,46,790,EX050100,KOR,127932
전라남도 화순군 도곡면 천암리,,58148,3013448,12,20230918142037,http://tong.visitkorea.or.kr/cms/resource/44/3013444_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/44/3013444_image3_1.jpg,Type3,126.9028896419,35.0296656282,6,20250807105024,,도곡온천단지,1,46,790,EX050100,KOR,3013448
경상북도 안동시 도산면 온천로 570,(도산면),36604,127983,12,20031121090000,http://tong.visitkorea.or.kr/cms/resource/91/3401891_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/91/3401891_image3_1.jpg,Type3,128.8201648427,36.7505017932,6,20250624163903,,도산원탕,1,47,170,EX050100,KOR,127983
부산광역시 동래구 금강공원로26번길 21,(온천동),47709,128706,12,20051219090000,,,,129.0814741955,35.2200382869,6,20240514090654,,동래온천 노천족탕,1,26,260,EX050100,KOR,128706
경기도 연천군 연천읍 동막로25번길 181,,11011,2735286,12,20210819230756,http://tong.visitkorea.or.kr/cms/resource/37/2735337_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/37/2735337_image2_1.JPG,Type3,127.0812438106,38.0896590238,6,20250109113917,,동막골유황천,1,41,800,EX050200,KOR,2735286
강원특별자치도 동해시 삼화로 455,(삼화동),25746,2364045,12,20160125183604,http://tong.visitkorea.or.kr/cms/resource/74/3353374_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/74/3353374_image3_1.jpg,Type3,129.0312662354,37.4651127210,6,20250730114105,,동해무릉건강숲,1,51,170,EX050600,KOR,2364045
강원특별자치도 동해시 석두골길 145,,25701,2711056,12,20210325024804,http://tong.visitkorea.or.kr/cms/resource/97/3350597_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/97/3350597_image3_1.jpg,Type3,129.0669812828,37.5942068674,6,20250730113941,033-534-6502,동해약천온천실버타운,1,51,170,EX050100,KOR,2711056
울산광역시 울주군 상북면 알프스온천로 197,,44952,127012,12,20040225090000,http://tong.visitkorea.or.kr/cms/resource/64/3084264_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/64/3084264_image3_1.jpg,Type3,129.0720851999,35.5543366785,6,20250703151044,,등억온천단지,1,31,710,EX050100,KOR,127012
전라남도 여수시 소호로 295 디오션리조트,,59670,587699,12,20080717183731,http://tong.visitkorea.or.kr/cms/resource/46/2605246_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/46/2605246_image2_1.bmp,Type3,127.6446680548,34.7311840404,6,20250404142904,,디오션리조트 워터파크,1,46,130,EX050100,KOR,587699
충청북도 영동군 영동읍 영동힐링로 95,레인보우힐링센터,29151,3346305,12,20240812112203,http://tong.visitkorea.or.kr/cms/resource/85/3346285_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/85/3346285_image3_1.jpg,Type3,127.7855597894,36.1569781998,6,20250730104213,,레인보우힐링센터,1,43,740,EX050400,KOR,3346305
경기도 용인시 처인구 지삼로 470,(삼가동),17090,2732163,12,20210809200916,http://tong.visitkorea.or.kr/cms/resource/98/2774098_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/98/2774098_image3_1.jpg,Type3,127.1569530865,37.2333155332,6,20250321154012,,로만바스,1,41,461,EX050200,KOR,2732163
서울특별시 중구 을지로 30 (소공동),본관 7층,04533,2794933,12,20211214053541,http://tong.visitkorea.or.kr/cms/resource/57/2796257_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/57/2796257_image2_1.jpg,Type3,126.9810458210,37.5654016461,6,20250421161054,,롯데호텔 서울 설화수 스파,0,11,140,EX050500,KOR,2794933
경상남도 창원시 의창구 북면 천주로 1167,,51101,127608,12,20030627090000,,,,128.6094728380,35.3544117553,6,20250305105320,,마금산원탕,1,48,121,EX050100,KOR,127608
경상북도 경주시 양남면 동남로 982,(양남면),38221,127995,12,20031126090000,,,,129.3691861270,35.6843665104,6,20250311163114,,마우나오션리조트 블루 워터,1,47,130,EX050100,KOR,127995
경상북도 문경시 문경읍 온천2길 24,,36918,126647,12,20040213090000,http://tong.visitkorea.or.kr/cms/resource/50/3408350_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/50/3408350_image3_1.jpg,Type3,128.1091343918,36.7300491533,6,20241210154928,,문경종합온천,1,47,280,EX050100,KOR,126647
경기도 양평군 지평면 월산저수지길 21,,12541,2755820,12,20211013005952,http://tong.visitkorea.or.kr/cms/resource/89/3503989_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/89/3503989_image3_1.jpg,Type3,127.6507764810,37.4739299919,6,20250709152118,,미리내힐빙클럽,1,41,830,EX050200,KOR,2755820
대구광역시 달서구 조암남로28길 9,(대천동),42759,2770713,12,20211109201353,,,,128.5175432112,35.8176828065,6,20250307135239,,미성온천,1,27,290,EX050100,KOR,2770713
대전광역시 서구 원도안로207번길 41,1층,35352,2808100,12,20220223131827,,,,127.3425087172,36.3217625947,6,20250626144432,,바구스스파,1,30,170,EX050100,KOR,2808100
울산광역시 울주군 온양읍 상발2길 34,,44976,128210,12,20041014090000,http://tong.visitkorea.or.kr/cms/resource/77/3077977_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/77/3077977_image3_1.bmp,Type3,129.2931117223,35.4059713746,6,20250703172819,,발리온천,1,31,710,EX050100,KOR,128210
울산광역시 울주군 범서읍 두동로 704,,44918,2788442,12,20211208024241,,,,129.2220173109,35.6258064399,6,20250326145741,,범서온천 지지워터피아,1,31,710,EX050100,KOR,2788442
전북특별자치도 부안군 변산면 대항리,,56343,3076330,12,20231115134947,,,,126.5487155348,35.6927400955,6,20241108163742,,변산 해수찜,1,52,800,EX050100,KOR,3076330
경기도 구리시 안골로 79,(수택동),11928,2782126,12,20211126231248,http://tong.visitkorea.or.kr/cms/resource/15/2782315_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/15/2782315_image3_1.jpg,Type3,127.1400331992,37.5976063224,6,20250110170728,,보원장탄온천,1,41,310,EX050100,KOR,2782126
충청북도 제천시 의림대로46길 98,,27127,2900897,12,20221108100657,,,,128.2191559605,37.1809216161,6,20240507142017,,본초다담,1,43,150,EX050300,KOR,2900897
부산광역시 기장군 철마면 철마천로 101,,46049,2660770,12,20200623195838,http://tong.visitkorea.or.kr/cms/resource/30/2661730_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/30/2661730_image3_1.jpg,Type3,129.1298103057,35.2690086937,6,20250325164353,,부산 치유의 숲,1,26,710,EX050600,KOR,2660770
경기도 수원시 장안구 서부로 2139 (율전동),"8, 9층",16360,2745737,12,20210916023844,http://tong.visitkorea.or.kr/cms/resource/92/2746092_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/92/2746092_image2_1.jpg,Type3,126.9716902619,37.2995045560,6,20250328131430,,북수원온천,1,41,111,EX050100,KOR,2745737
경기도 고양시 덕양구 중고개길 88-10 (지축동),,10580,2733836,12,20210813190535,,,,126.9329281050,37.6592287602,6,20250626114822,,북한산온천비젠,1,41,281,EX050100,KOR,2733836
